name,mos
Andrew_r01.ply,0.344392604
Andrew_r02.ply,0.365889748
Andrew_r03.ply,0.501049747
Andrew_r04.ply,0.393041627
Andrew_r05.ply,0.391252023
Andrew_r06.ply,0.568982169
Andrew_r07.ply,0.460561081
Andrew_r08.ply,0.512396473
Andrew_r09.ply,0.653121377
Andrew_r10.ply,0.340482155
Andrew_r11.ply,0.36192738
Andrew_r12.ply,0.489273385
Andrew_r13.ply,0.347373085
Andrew_r14.ply,0.366331949
Andrew_r15.ply,0.534963449
Andrew_r16.ply,0.345780163
Andrew_r17.ply,0.517092474
AngelSeated_r01.ply,0.381084985
AngelSeated_r02.ply,0.427847845
AngelSeated_r03.ply,0.629306869
AngelSeated_r04.ply,0.391753734
AngelSeated_r05.ply,0.411795794
AngelSeated_r06.ply,0.584124422
AngelSeated_r07.ply,0.415084139
AngelSeated_r08.ply,0.500189016
AngelSeated_r09.ply,0.659741868
AngelSeated_r10.ply,0.391067706
AngelSeated_r11.ply,0.375078352
AngelSeated_r12.ply,0.404708174
AngelSeated_r13.ply,0.382076557
AngelSeated_r14.ply,0.408131003
AngelSeated_r15.ply,0.592086625
AngelSeated_r16.ply,0.399119933
AngelSeated_r17.ply,0.492560891
Banana_r01.ply,0.394463688
Banana_r02.ply,0.447899701
Banana_r03.ply,0.534286328
Banana_r04.ply,0.483752447
Banana_r05.ply,0.471620704
Banana_r06.ply,0.578841584
Banana_r07.ply,0.73384901
Banana_r08.ply,0.685335318
Banana_r09.ply,0.696279117
Banana_r10.ply,0.408568878
Banana_r11.ply,0.462587764
Banana_r12.ply,0.698434499
Banana_r13.ply,0.380993551
Banana_r14.ply,0.372187507
Banana_r15.ply,0.523322602
Banana_r16.ply,0.448925618
Banana_r17.ply,0.513693978
Biplane_r01.ply,0.389103722
Biplane_r02.ply,0.407310124
Biplane_r03.ply,0.628556301
Biplane_r04.ply,0.426167876
Biplane_r05.ply,0.449052748
Biplane_r06.ply,0.644141237
Biplane_r07.ply,0.510448107
Biplane_r08.ply,0.528212516
Biplane_r09.ply,0.654430692
Biplane_r10.ply,0.386884734
Biplane_r11.ply,0.391635166
Biplane_r12.ply,0.473357359
Biplane_r13.ply,0.385961606
Biplane_r14.ply,0.367121208
Biplane_r15.ply,0.587840412
Biplane_r16.ply,0.387047246
Biplane_r17.ply,0.561816462
Bush_r01.ply,0.4118333
Bush_r02.ply,0.398811224
Bush_r03.ply,0.719120828
Bush_r04.ply,0.415637183
Bush_r05.ply,0.468956264
Bush_r06.ply,0.713162651
Bush_r07.ply,0.443286547
Bush_r08.ply,0.498777119
Bush_r09.ply,0.750822702
Bush_r10.ply,0.375364371
Bush_r11.ply,0.384967777
Bush_r12.ply,0.407355684
Bush_r13.ply,0.36386778
Bush_r14.ply,0.416971139
Bush_r15.ply,0.681909805
Bush_r16.ply,0.413287731
Bush_r17.ply,0.59073565
Facade_r01.ply,0.416018129
Facade_r02.ply,0.516276316
Facade_r03.ply,0.845574239
Facade_r04.ply,0.46814995
Facade_r05.ply,0.572962286
Facade_r06.ply,0.846989842
Facade_r07.ply,0.475776208
Facade_r08.ply,0.620732889
Facade_r09.ply,0.843695337
Facade_r10.ply,0.414477546
Facade_r11.ply,0.443375026
Facade_r12.ply,0.445206311
Facade_r13.ply,0.382556818
Facade_r14.ply,0.506384981
Facade_r15.ply,0.820417199
Facade_r16.ply,0.446146596
Facade_r17.ply,0.708588292
Grass_r01.ply,0.38023497
Grass_r02.ply,0.473186166
Grass_r03.ply,0.588662743
Grass_r04.ply,0.470133822
Grass_r05.ply,0.491596439
Grass_r06.ply,0.644115807
Grass_r07.ply,0.529099652
Grass_r08.ply,0.578698255
Grass_r09.ply,0.720277107
Grass_r10.ply,0.413818209
Grass_r11.ply,0.477119362
Grass_r12.ply,0.525043107
Grass_r13.ply,0.393173405
Grass_r14.ply,0.411117171
Grass_r15.ply,0.541339943
Grass_r16.ply,0.450299137
Grass_r17.ply,0.627648642
House_r01.ply,0.39638599
House_r02.ply,0.397502507
House_r03.ply,0.669011055
House_r04.ply,0.390676735
House_r05.ply,0.415516389
House_r06.ply,0.649262055
House_r07.ply,0.375334309
House_r08.ply,0.443908574
House_r09.ply,0.664475231
House_r10.ply,0.358103316
House_r11.ply,0.370594759
House_r12.ply,0.373453762
House_r13.ply,0.35941025
House_r14.ply,0.404651034
House_r15.ply,0.648925235
House_r16.ply,0.3885724
House_r17.ply,0.567285564
Longdress_r01.ply,0.351774005
Longdress_r02.ply,0.4394872
Longdress_r03.ply,0.714208541
Longdress_r04.ply,0.427092752
Longdress_r05.ply,0.484917281
Longdress_r06.ply,0.680461301
