name,mos
Mask_PCL_L.ply,2.1
Mask_PCL_M.ply,3.95
Mask_PCL_H.ply,4.4
Mask_GPCC_L.ply,2.8
Mask_GPCC_M.ply,3.1
Mask_GPCC_H.ply,3.9
Mask_VPCC_L.ply,4.5
Mask_VPCC_M.ply,4.4
Mask_VPCC_H.ply,4.25
House_PCL_L.ply,1.95
House_PCL_M.ply,3.8
House_PCL_H.ply,4.65
House_GPCC_L.ply,2.45
House_GPCC_M.ply,3.55
House_GPCC_H.ply,4.25
House_VPCC_L.ply,3.85
House_VPCC_M.ply,3.6
House_VPCC_H.ply,3.75
Facade_PCL_L.ply,1.4
Facade_PCL_M.ply,3.55
Facade_PCL_H.ply,4.7
Facade_GPCC_L.ply,2.4
Facade_GPCC_M.ply,3.35
Facade_GPCC_H.ply,4.55
Facade_VPCC_L.ply,3.85
Facade_VPCC_M.ply,3.9
Facade_VPCC_H.ply,4.2
loot_PCL_L.ply,1.1
loot_PCL_M.ply,1.8
loot_PCL_H.ply,3.65
loot_GPCC_L.ply,3.7
loot_GPCC_M.ply,4.6
loot_GPCC_H.ply,4.7
loot_VPCC_L.ply,3.9
loot_VPCC_M.ply,4.4
loot_VPCC_H.ply,4.55
longdress_PCL_L.ply,1.1
longdress_PCL_M.ply,1.8
longdress_PCL_H.ply,3.4
longdress_GPCC_L.ply,3.65
longdress_GPCC_M.ply,4.45
longdress_GPCC_H.ply,4.5
longdress_VPCC_L.ply,3.9
longdress_VPCC_M.ply,4.5
longdress_VPCC_H.ply,4.65
